Date,Open,High,Low,Close,Volume,Adj Close
20-01-2014,1621.55,1645.9,1616.65,1641.85,946800,1617.94
17-01-2014,1634.55,1644.5,1617,1621.55,1120700,1597.94
16-01-2014,1644.15,1651.75,1632.45,1636.2,724100,1612.38
15-01-2014,1632,1658,1632,1640.7,1362400,1616.81
14-01-2014,1635,1649,1623.35,1627.5,1019700,1603.8
13-01-2014,1610.15,1645.1,1610.15,1641.25,1556400,1617.35
10-01-2014,1639.55,1656,1600,1608.15,2047300,1584.74
09-01-2014,1653,1662.75,1630,1639.8,1479100,1615.92
08-01-2014,1664.25,1677.95,1651,1657.15,1424800,1633.02
07-01-2014,1692.9,1702,1655,1661.4,1735200,1637.21
06-01-2014,1721.9,1724,1682,1688.15,1390700,1663.57
03-01-2014,1727,1736,1711,1719.65,1375900,1694.61
02-01-2014,1765.9,1806,1732.2,1742.6,1945100,1717.23
01-01-2014,1772,1774.9,1761.25,1765.05,590400,1739.35
31-12-2013,1759.45,1773,1749.7,1766.5,1075300,1740.78
30-12-2013,1780.8,1788.7,1755.1,1764.6,1086100,1738.91
27-12-2013,1755,1781.4,1755,1770.1,1069500,1744.33
26-12-2013,1753,1771.7,1747,1753.45,1633200,1727.92
25-12-2013,1759.25,1759.25,1759.25,1759.25,0,1733.63
24-12-2013,1759.15,1772,1752,1759.25,1333900,1733.63
23-12-2013,1745,1772.8,1745,1758.45,1332000,1732.85
20-12-2013,1725,1758,1720.05,1751.2,1502300,1725.7
19-12-2013,1772.3,1778.4,1712.5,1731.05,1837300,1705.85
18-12-2013,1715,1778.9,1715,1763.4,2358100,1737.72
17-12-2013,1750.2,1755,1712.65,1718.3,1763200,1693.28
16-12-2013,1730.1,1761.9,1727.35,1732.1,1302100,1706.88
13-12-2013,1758,1770,1740.1,1743.6,1646200,1718.21
12-12-2013,1790,1798,1771.55,1777,1581700,1751.13
11-12-2013,1840,1842.95,1781.5,1796.55,2071000,1770.39
10-12-2013,1894.75,1898.6,1836.3,1843.3,1886400,1816.46
09-12-2013,1911,1924,1885.05,1890.85,1877500,1863.32
06-12-2013,1852,1867.1,1845.05,1859.55,1450000,1832.47
05-12-2013,1860,1882.65,1846.2,1855.95,2366200,1828.93
04-12-2013,1807,1834.75,1797,1817.35,1542600,1790.89
03-12-2013,1814.95,1829.8,1805.25,1813.5,1480600,1787.1
02-12-2013,1827,1853.5,1812.4,1822.15,1745900,1795.62
29-11-2013,1761,1827,1761,1819.45,2340100,1792.96
28-11-2013,1777,1790.65,1760.75,1763.6,1843200,1737.92
27-11-2013,1786,1798.7,1756.9,1763.7,1369100,1738.02
26-11-2013,1800,1819.5,1781,1785.25,1604800,1759.26
25-11-2013,1741.5,1811.6,1740.05,1806.65,2273500,1780.34
